aisle_id,aisle,order_count,reorder_count,perc_reorder,popularity_rank
56,diapers wipes,25714,13116,51.01,108
57,granola,105762,63316,59.87,66
58,frozen breads doughs,41740,22543,54.01,91
59,canned meals beans,282088,142744,50.6,35
60,trash bags liners,33702,11357,33.7,101
61,cookies cakes,244045,134064,54.93,42
62,white wines,31646,19998,63.19,103
63,grains rice dried goods,150323,59984,39.9,56
64,energy sports drinks,108357,70375,64.95,65
65,protein meal replacements,38211,19332,50.59,94
66,asian foods,173614,60986,35.13,52
67,fresh dips tapenades,370827,225574,60.83,23
68,bulk grains rice dried goods,17839,9522,53.38,119
69,soup broth bouillon,361573,152715,42.24,24
70,digestion,28078,12520,44.59,106
71,refrigerated pudding desserts,39420,21823,55.36,92
72,condiments,231792,71833,30.99,44
73,facial care,12915,4113,31.85,122
74,dish detergents,98797,38904,39.38,71
75,laundry,98990,40337,40.75,70
76,indian foods,16620,6715,40.4,120
77,soft drinks,373816,238981,63.93,22
78,crackers,478430,272645,56.99,14
79,frozen pizza,169879,98878,58.2,54
80,deodorants,15673,3743,23.88,121
81,canned jarred vegetables,309716,130861,42.25,32
82,baby accessories,8466,4669,55.15,132
83,fresh vegetables,3568630,2123540,59.51,2
84,milk,923659,722128,78.18,6
85,food storage,68852,17585,25.54,82
86,eggs,472009,333408,70.64,16
87,more household,18405,4603,25.01,117
88,spreads,301502,147115,48.79,33
89,salad dressing toppings,104050,35594,34.21,68
90,cocoa drink mixes,22276,9066,40.7,111
91,soy lactosefree,664493,460069,69.24,9
92,baby food formula,395654,233042,58.9,19
93,breakfast bakery,260621,169743,65.13,38
94,tea,258717,136504,52.76,39
95,canned meat seafood,70287,33658,47.89,80
96,lunch meat,412087,249963,60.66,17
97,baking supplies decor,24786,4154,16.76,109
98,juice nectars,348283,206348,59.25,25
99,canned fruit applesauce,91193,51339,56.3,72
100,missing,77396,30519,39.43,75
101,air fresheners candles,20918,6500,31.07,113
102,baby bath body care,8909,2626,29.48,131
103,ice cream toppings,11706,3140,26.82,124
104,spices seasonings,221371,33855,15.29,46
105,doughs gelatins bake mixes,110847,43653,39.38,64
106,hot dogs bacon sausage,318468,177380,55.7,30
107,chips pretzels,753739,444036,58.91,8
108,other creams cheeses,320827,181540,56.59,28
109,skin care,10698,2598,24.28,128
110,pickled goods olives,117521,52730,44.87,62
111,plates bowls cups flatware,45307,19968,44.07,89
112,bread,608469,408010,67.06,10
113,frozen juice,5147,2327,45.21,134
114,cleaning products,124371,36054,28.99,59
115,water seltzer sparkling water,878150,640988,72.99,7
116,frozen produce,545107,295616,54.23,12
117,nuts seeds dried fruit,319019,165685,51.94,29
118,first aid,11411,2235,19.59,126
119,frozen dessert,20241,8553,42.26,115
120,yogurt,1507583,1034957,68.65,4
121,cereal,393787,225338,57.22,21
122,meat counter,74046,39533,53.39,79
123,packaged vegetables fruits,1843806,1178700,63.93,3
124,spirits,29069,16652,57.28,105
125,trail mix snack mix,37053,23005,62.09,96
126,feminine care,20801,6687,32.15,114
127,body lotions soap,42905,14176,33.04,90
128,tortillas flat bread,201650,111226,55.16,50
129,frozen appetizers sides,203452,107122,52.65,49
130,hot cereal pancake mixes,164516,82215,49.97,55
131,dry pasta,277935,126283,45.44,36
132,beauty,6455,1374,21.29,133
133,muscles joints pain relief,19580,6723,34.34,116
134,specialty wines champagnes,11659,5681,48.73,125
