product_id,order_count,product_name,aisle_id,department_id,cart_order,Water,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference"
11777,3456,Red Raspberries,123,4,6.01,85.6,,1.01,0.188,12.9
18362,3418,Organic Bread with 21 Whole Grains,112,3,6.44,13.0,,11.1,3.04,71.1
38777,3397,Organic Green Seedless Grapes,123,4,6.58,79.9,,0.899,0.232,18.6
21386,3356,Smartwater,115,7,2.66,,,,,
25146,3347,Original Orange Juice,31,7,5.27,88.2,,0.734,0.325,10.3
33787,3346,Total 2% Lowfat Greek Strained Yogurt with Peach,120,16,6.39,81.1,352.0,11.0,2.3,4.31
14233,3314,Natural Artesian Water,115,7,3.26,79.0,376.0,19.0,0.94,0.08
44142,3299,Red Onion,83,4,5.7,88.6,186.0,0.94,0.1,9.93
20119,3295,Sparkling Water Berry,115,7,5.64,79.0,376.0,19.0,0.94,0.08
36695,3280,Organic Hothouse Cucumbers,83,4,6.49,95.9,,0.625,0.178,2.95
23288,3264,Distilled Water,115,7,3.86,79.0,376.0,19.0,0.94,0.08
20940,3228,Organic Low Fat Milk,84,16,2.42,89.8,,3.46,1.08,4.81
33768,3226,Sinfully Sweet Campari Tomatoes,83,4,4.26,94.7,,0.696,0.425,3.84
33120,3214,Organic Egg Whites,86,16,5.1,86.3,55.0,10.7,0.0,2.36
42585,3184,Organic Extra Firm Tofu,14,20,6.25,,,,,
17122,3182,Honeycrisp Apples,24,4,3.92,85.0,,0.102,0.1,14.7
3298,3145,Mozzarella String Cheese,21,16,3.77,47.7,298.0,23.7,20.4,4.44
38293,3133,Ground Turkey Breast,35,12,6.22,72.9,,17.3,9.59,0.0
45603,3132,Trilogy Kombucha Drink,31,7,5.07,,,,,
35561,3126,Organic Tortilla Chips,107,19,4.41,,,,,
40199,3125,Chocolate Chip Cookies,61,19,4.04,8.85,1800.0,5.79,14.3,69.6
38768,3125,Sweet Kale Salad Mix,32,4,2.79,89.6,35.0,2.92,1.49,4.42
31343,3094,Shredded Mild Cheddar Cheese,21,16,6.64,36.6,1710.0,23.3,34.0,2.44
28465,3093,Icelandic Style Skyr Blueberry Non-fat Yogurt,120,16,6.19,84.2,,0.703,0.306,14.6
34358,3073,Garlic,83,4,6.28,63.1,597.0,6.62,0.38,28.2
21292,3054,Rainbow Bell Peppers,32,4,3.39,94.1,,0.715,0.106,4.78
14084,3050,Organic Unsweetened Vanilla Almond Milk,91,16,4.73,96.5,,0.656,1.56,0.671
46969,3043,Organic Bosc Pear,24,4,6.24,84.1,57.0,0.38,0.16,15.1
26348,3042,Mixed Fruit Fruit Snacks,50,19,4.15,88.1,,0.0859,0.286,11.4
46061,2997,Popcorn,23,19,3.1,,,,,
40571,2989,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,120,16,6.54,85.0,61.0,10.3,0.37,3.64
16185,2951,Sharp Cheddar Cheese,21,16,6.16,36.6,1710.0,23.3,34.0,2.44
40604,2936,Feta Cheese Crumbles,21,16,6.74,51.9,,19.7,19.1,5.58
329,2928,Organic Whole Grassmilk Milk,84,16,4.12,72.9,157.0,7.81,11.0,6.86
39180,2904,Organic Lowfat 1% Milk,84,16,4.3,89.7,43.0,3.38,0.95,5.18
18531,2884,Organic Heavy Whipping Cream,53,16,4.99,58.1,,2.02,35.6,3.8
11759,2883,Organic Simply Naked Pita Chips,107,19,4.01,,,,,
13870,2881,Lightly Salted Baked Snap Pea Crisps,107,19,7.04,89.7,,1.97,0.275,7.41
41844,2843,Honey Nut Cheerios,121,14,7.16,4.81,,17.4,38.9,36.3
2078,2838,Unsalted Pure Irish Butter,36,16,5.01,17.4,,,81.5,
19677,2832,Original Pure Creamy Almond Milk,91,16,4.9,1.75,,20.8,53.0,21.2
21405,2818,"Organic Red Radish, Bunch",83,4,6.24,91.1,,1.24,0.214,6.79
24830,2808,Organic Romaine,123,4,6.38,94.7,70.0,1.24,0.26,3.24
19691,2808,Green Seedless Grapes,32,4,4.18,79.9,,0.899,0.232,18.6
46802,2797,Pineapple Chunks,116,1,5.55,85.0,,0.461,0.211,14.1
8193,2793,Russet Potato,83,4,5.76,78.6,,2.27,0.36,17.8
260,2783,Cantaloupe,24,4,7.11,90.2,141.0,0.82,0.18,8.16
13166,2772,"Organic Milk Reduced Fat, 2% Milkfat",84,16,4.64,89.1,50.0,3.36,1.9,4.9
14992,2771,Green Beans,83,4,6.41,89.7,,1.97,0.275,7.41
40174,2743,2% Reduced Fat Organic Milk,84,16,4.57,89.1,50.0,3.36,1.9,4.9
6046,2741,Boneless Skinless Chicken Breast,35,12,5.87,74.8,,22.5,1.93,-0.368
10132,2732,Organic American Cheese Singles,21,16,6.32,44.8,,15.6,23.9,8.19
10957,2718,Fridge Pack Cola,77,7,4.25,93.6,86.0,1.04,0.39,4.11
32403,2708,Fat Free Skim Milk,84,16,3.06,90.8,144.0,3.43,0.08,4.92
11182,2695,Baby Spinach,123,4,5.82,92.5,,2.85,0.619,2.41
36865,2685,Non Fat Raspberry Yogurt,120,16,6.37,85.6,,1.01,0.188,12.9
16953,2682,Creamy Peanut Butter,88,13,5.65,1.1,,24.0,49.4,22.7
42244,2682,Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt,120,16,5.82,81.1,352.0,11.0,2.3,4.31
42768,2647,Organic Garbanzo Beans,59,15,6.5,8.77,,21.3,6.27,60.4
30169,2639,Total 2% All Natural Plain Greek Yogurt,120,16,5.36,85.0,61.0,10.3,0.37,3.64
17600,2628,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",120,16,6.75,89.8,,3.46,1.08,4.81
34050,2608,Orange Juice,31,7,5.14,88.2,,0.734,0.325,10.3
24799,2605,Vanilla Skyr Nonfat Yogurt,120,16,6.19,86.6,,4.23,0.0875,8.08
25466,2594,Water,115,7,3.67,79.0,376.0,19.0,0.94,0.08
40396,2593,Guacamole,67,20,5.5,,,,,
13249,2584,Skim Milk,84,16,4.65,90.8,144.0,3.43,0.08,4.92
44683,2576,Brussels Sprouts,83,4,5.54,,,,,
43768,2566,Organic Bell Pepper,83,4,7.26,94.1,,0.715,0.106,4.78
25931,2529,Organic Baby Spinach Salad,123,4,5.14,92.5,,2.85,0.619,2.41
42450,2514,Macaroni & Cheese,38,1,5.79,36.6,1710.0,23.3,34.0,2.44
22802,2514,Mineral Water,115,7,2.34,79.0,376.0,19.0,0.94,0.08
28849,2513,No Salt Added Black Beans,59,15,6.92,70.8,,6.91,1.27,19.8
7948,2489,Organic Unsalted Butter,36,16,5.61,17.4,,,81.5,
1194,2476,Natural Artisan Water,115,7,3.87,79.0,376.0,19.0,0.94,0.08
6104,2474,Whole Milk Plain Yogurt,120,16,5.17,85.3,,3.82,4.48,5.57
2086,2469,Sustainably Soft Bath Tissue,54,17,5.95,8.85,1800.0,5.79,14.3,69.6
14715,2464,Coconut Water,98,7,2.99,4.69,,16.1,15.3,58.9
38383,2458,Organic White Onions,83,4,6.35,91.3,148.0,0.89,0.13,7.68
42701,2457,Organic Sour Cream,108,16,6.0,72.6,,3.07,18.0,5.56
43772,2455,Cherubs Heavenly Salad Tomatoes,83,4,6.09,94.7,,0.696,0.425,3.84
23375,2447,Marinara Sauce,9,9,6.63,87.4,186.0,1.41,1.48,8.05
13629,2439,Organic Snipped Green Beans,83,4,6.8,89.7,,1.97,0.275,7.41
10473,2434,Half And Half Cream,53,16,3.06,58.1,,2.02,35.6,3.8
41290,2432,Lemonade,31,7,5.66,,,,,
31915,2413,Organic Red Delicious Apple,24,4,5.71,84.7,,0.188,0.212,14.8
20082,2403,Organic Whole Milk with DHA Omega-3,84,16,4.72,72.9,157.0,7.81,11.0,6.86
44910,2403,Organic Spring Mix Salad,123,4,5.8,,,,,
21573,2400,Roasted Pine Nut Hummus,67,20,4.16,1.92,,15.7,61.3,18.6
31683,2398,Original No Pulp 100% Florida Orange Juice,31,7,5.34,88.2,,0.734,0.325,10.3
2855,2390,Organic Good Seed Bread,112,3,4.89,6.62,,29.9,40.0,18.7
47672,2385,Uncured Hickory Smoked Sunday Bacon,106,12,6.27,14.2,2090.0,40.9,36.5,2.1
5161,2380,Dried Mango,18,10,4.49,7.98,376.0,79.9,0.65,6.02
26790,2370,Organic AppleApple,99,15,7.61,,,,,
24024,2362,1% Lowfat Milk,84,16,4.74,89.7,43.0,3.38,0.95,5.18
14678,2355,Organic Frozen Peas,116,1,6.74,11.0,,21.2,2.42,61.8
11422,2354,Plain Greek Yogurt,120,16,5.26,85.0,61.0,10.3,0.37,3.64
43713,2352,Organic Creamy Peanut Butter,88,13,7.08,1.1,,24.0,49.4,22.7
31759,2352,Cherrios Honey Nut,121,14,4.47,4.81,,17.4,38.9,36.3
40310,2348,Oven Roasted Turkey Breast,96,20,6.14,74.8,,22.5,1.93,-0.368
47977,2344,Grapefruit Sparkling Water,115,7,4.27,90.9,37.0,0.55,0.7,7.59
3952,2344,Organic Broccoli Crowns,83,4,6.23,90.0,31.0,2.57,0.34,6.27
17461,2342,Air Chilled Organic Boneless Skinless Chicken Breasts,35,12,6.0,74.8,,22.5,1.93,-0.368
38159,2328,Organic Yellow Peaches,24,4,6.72,88.3,174.0,0.91,0.27,10.1
12427,2324,Original Beef Jerky,23,19,3.44,54.6,1310.0,11.7,28.0,2.89
2966,2319,Pure Coconut Water,98,7,5.7,4.69,,16.1,15.3,58.9
1511,2286,2% Reduced Fat DHA Omega-3 Reduced Fat Milk,84,16,4.67,89.1,50.0,3.36,1.9,4.9
42445,2279,Organic Plain Whole Milk Yogurt,120,16,5.56,85.3,,3.82,4.48,5.57
44422,2273,Organic Old Fashioned Rolled Oats,130,14,6.36,10.2,,13.5,5.89,68.7
37158,2272,Chicken & Maple Breakfast Sausage,52,1,6.1,51.7,1370.0,13.3,28.7,3.37
41665,2246,Organic Mexican Blend Finely Shredded Cheese,21,16,7.01,12.1,,13.3,1.84,72.0
32455,2245,Whole Grain Cheddar Baked Snack Crackers,78,19,4.04,13.0,,11.1,3.04,71.1
21195,2245,Organic Extra Virgin Olive Oil,19,13,4.26,,,,,
20955,2241,Cereal,121,14,4.55,13.0,,11.1,3.04,71.1
28289,2237,Organic Shredded Carrots,123,4,6.27,89.3,,0.805,0.138,9.08
6348,2236,Mini Original Babybel Cheese,21,16,7.38,36.6,1710.0,23.3,34.0,2.44
45633,2226,Organic Beef Hot Dogs,106,12,6.4,54.6,1310.0,11.7,28.0,2.89
49520,2222,Orange Sparkling Water,115,7,5.35,86.7,196.0,0.91,0.15,11.8
10246,2221,Organic Celery Hearts,83,4,6.4,95.2,,0.492,0.162,3.32
2295,2220,Yellow Bell Pepper,83,4,7.47,92.1,,0.819,0.121,6.6
35547,2218,Organic Baby Kale,83,4,5.6,89.6,35.0,2.92,1.49,4.42
39657,2207,Milk Chocolate Almonds,45,19,3.68,96.5,,0.656,1.56,0.671
16083,2198,Organic Large Brown Eggs,86,16,5.49,86.3,55.0,10.7,0.0,2.36
18023,2192,Organic Coconut Water,115,7,2.99,4.69,,16.1,15.3,58.9
21267,2190,Sourdough Bread,112,3,6.33,35.7,1130.0,9.43,3.59,49.2
651,2189,Organic Salted Butter,36,16,5.09,15.8,,,82.2,
34448,2183,Original Veggie Straws,50,19,7.66,,,,,
35108,2173,Salted Butter,36,16,6.09,15.8,,,82.2,
16349,2163,Organic Yams,83,4,6.45,,,,,
38456,2155,Large Grapefruit,24,4,6.41,86.3,55.0,10.7,0.0,2.36
47734,2144,Organic Green Cabbage,83,4,6.1,91.9,,0.961,0.228,6.38
32864,2132,Organic Baby Rainbow Carrots,123,4,6.69,89.3,,0.805,0.138,9.08
13646,2129,Lemon Hummus,67,20,6.52,58.7,229.0,7.35,17.1,14.9
25659,2124,Organic Coconut Milk,91,16,6.05,4.69,,16.1,15.3,58.9
22124,2122,Total 0% Raspberry Yogurt,120,16,6.01,0.0,,24.4,1.45,
27730,2107,Almond Breeze Original Almond Milk,91,16,4.92,96.5,,0.656,1.56,0.671
35503,2100,Organic Vanilla Almond Milk,91,16,5.1,96.5,,0.656,1.56,0.671
18027,2095,Ezekiel 4:9 Bread Organic Sprouted Whole Grain,112,3,5.86,13.0,,11.1,3.04,71.1
31720,2094,Organic  Whole Milk,84,16,3.84,72.9,157.0,7.81,11.0,6.86
42342,2091,Roasted Turkey Breast,96,20,6.37,74.8,,22.5,1.93,-0.368
4724,2089,Broccoli Florettes,32,4,3.09,90.0,31.0,2.57,0.34,6.27
10070,2080,Organic 1% Low Fat Milk,84,16,4.65,89.8,,3.46,1.08,4.81
18370,2078,Organic Shredded Mozzarella,21,16,7.0,47.7,298.0,23.7,20.4,4.44
36550,2049,Organic Extra Large Grade AA Brown Eggs,86,16,5.67,86.3,55.0,10.7,0.0,2.36
43789,2047,Organic Basil,16,4,6.56,,,,,
43086,2027,Super Greens Salad,123,4,5.9,91.9,,0.961,0.228,6.38
24561,2015,Organic Cheese Frozen Pizza,79,1,7.22,90.1,153.0,0.81,0.47,7.92
6948,2015,Organic Original Almond Milk,91,16,4.56,96.5,,0.656,1.56,0.671
28745,2005,Oven Roasted Turkey,96,20,5.75,43.4,1210.0,4.52,14.4,36.3
45504,2005,Whole Organic Omega 3 Milk,84,16,4.51,72.9,157.0,7.81,11.0,6.86
37766,2005,XL Emerald White Seedless Grapes,123,4,6.16,79.9,,0.899,0.232,18.6
10017,1994,Tilapia Filet,39,12,5.6,,,,,
26283,1988,White Corn,83,4,6.69,,,,,
41276,1987,Energy Drink,64,7,3.24,,,,,
24954,1983,Total 0% with Honey Nonfat Greek Strained Yogurt,120,16,6.35,85.0,61.0,10.3,0.37,3.64
15424,1981,Purified Water,115,7,3.49,79.0,376.0,19.0,0.94,0.08
27325,1981,Alpine Spring Water,115,7,4.09,79.0,376.0,19.0,0.94,0.08
31553,1957,Fresh Ginger Root,83,4,5.99,,,,,
25138,1952,Organic Plain Greek Whole Milk Yogurt,120,16,5.55,81.3,,8.78,4.39,4.75
35939,1949,Organic Jalapeno Pepper,83,4,6.38,94.1,,0.715,0.106,4.78
44987,1941,Heavy Whipping Cream,53,16,5.13,58.1,,2.02,35.6,3.8
45,1937,European Cucumber,83,4,6.26,95.9,,0.625,0.178,2.95
17949,1936,Mild Cheddar Cheese Sticks,21,16,7.27,36.6,1710.0,23.3,34.0,2.44
13984,1931,Organic Mint,16,4,5.77,,,,,
3896,1930,Organic Honey Sweet Whole Wheat Bread,112,3,5.75,38.7,1060.0,12.3,3.55,43.1
31040,1928,Sea Salt Pita Chips,107,19,6.86,15.8,,,82.2,
1158,1905,Mango Chunks,116,1,6.33,,,,,
4472,1899,Toasted Coconut Almondmilk Blend,91,16,4.78,4.69,,16.1,15.3,58.9
5646,1897,Organic Turkey Bacon,106,12,6.49,14.2,2090.0,40.9,36.5,2.1
26940,1896,Organic Large Green Asparagus,83,4,6.85,86.3,55.0,10.7,0.0,2.36
40939,1890,Drinking Water,115,7,2.15,79.0,376.0,19.0,0.94,0.08
46562,1886,Sweet & Salty Nut Granola Bars Peanut,3,19,3.76,4.81,,17.4,38.9,36.3
7963,1884,Gluten Free Whole Grain Bread,58,1,5.92,13.0,,11.1,3.04,71.1
37067,1884,Organic Banana,24,4,4.52,78.3,357.0,0.73,0.22,20.1
27695,1883,Natural Chicken & Sage Breakfast Sausage,106,12,6.11,51.7,1370.0,13.3,28.7,3.37
25340,1878,Large Yellow Flesh Nectarine,24,4,6.6,89.0,39.0,1.06,0.28,9.18
17872,1876,Total 2% Lowfat Plain Greek Yogurt,120,16,5.49,85.0,61.0,10.3,0.37,3.64
